18,1,1,2,0,0,0,1,0,0,1,1,1,1,1,5,6,1
15,4,2,1,0,0,0,0,1,0,3,5,2,1,1,3,10,0
16,3,2,1,0,0,0,0,1,0,3,1,3,1,4,3,2,1
16,2,3,2,0,1,1,1,0,0,4,4,3,1,3,4,4,1
16,3,1,4,0,0,1,0,1,0,4,3,2,1,1,5,2,0
17,2,2,1,0,0,1,0,1,0,4,4,5,5,5,4,2,0
15,1,2,2,0,0,0,0,0,1,2,3,4,2,4,1,6,1
17,2,1,1,0,0,1,0,1,0,3,2,2,1,2,5,8,1
15,3,2,2,0,1,1,0,1,0,4,3,5,1,1,2,16,1
18,1,2,1,0,0,1,0,0,0,4,1,4,5,5,1,8,0
17,4,4,2,0,0,1,1,1,1,2,3,4,1,1,1,4,1
16,4,4,2,0,0,1,1,0,0,2,4,4,2,3,4,0,1
17,4,2,4,0,0,0,0,1,1,4,2,3,3,1,5,0,1
16,4,3,3,0,1,1,0,1,0,5,3,5,1,1,3,2,1
15,1,1,2,0,0,1,1,0,1,5,4,5,2,4,4,8,0
19,3,3,2,0,0,1,1,1,0,4,3,5,3,3,5,16,1
17,2,3,1,0,0,1,0,0,0,3,3,3,1,4,3,4,1
15,1,1,2,0,0,1,1,1,0,4,3,3,1,1,2,1,1
18,3,2,3,0,0,1,1,1,0,5,4,2,1,1,4,0,0
17,3,1,2,3,0,1,1,1,1,5,4,4,1,1,5,2,1
21,1,1,2,2,0,1,1,1,1,5,3,3,5,2,4,21,0
17,4,2,3,0,0,1,0,1,0,4,3,3,1,1,3,0,1
17,1,2,2,0,0,1,1,0,1,3,5,2,2,2,1,2,0
15,2,2,1,0,1,1,0,1,0,5,4,1,1,1,1,0,0
17,2,2,1,0,0,0,0,0,0,5,2,2,1,1,4,0,0
18,2,2,2,1,0,1,0,1,1,5,3,1,1,1,5,16,1
15,1,1,1,1,0,1,0,1,1,4,4,3,1,2,2,4,1
17,4,1,1,0,0,0,0,1,1,4,2,3,1,2,5,1,1
16,3,4,1,0,0,0,0,1,0,3,2,1,1,4,5,12,1
16,1,2,1,2,0,0,0,1,0,4,4,5,3,5,5,0,0
17,3,3,1,0,0,1,1,1,0,4,2,5,2,5,5,2,1
15,3,3,1,0,0,1,1,1,0,4,3,3,2,4,3,11,0
17,1,2,2,0,0,0,0,0,0,3,2,2,1,2,3,0,1
15,2,2,1,0,0,1,0,1,0,4,2,2,1,2,5,8,0
17,1,1,1,0,0,0,0,0,0,4,2,3,3,4,4,4,0
21,4,4,3,2,0,0,1,1,0,3,3,2,1,1,5,0,1
18,2,1,2,0,0,0,1,1,0,5,2,4,1,2,4,2,0
17,3,4,3,0,0,0,0,1,0,4,4,5,1,3,5,8,1
16,2,2,2,0,0,1,0,0,0,4,3,4,1,2,2,6,1
18,4,4,1,0,0,1,0,1,1,1,4,2,2,2,1,0,0
18,3,2,1,0,0,1,0,1,0,2,5,5,5,5,5,8,0
18,3,2,3,0,0,0,1,0,0,5,3,2,1,1,3,2,0
18,1,1,2,0,0,0,0,0,1,5,2,3,1,2,3,2,1
17,3,1,1,1,0,1,0,1,1,4,1,2,1,1,3,6,1
19,2,1,3,1,0,0,1,1,1,4,3,1,1,1,5,0,0
18,2,2,3,0,0,0,0,0,0,5,3,3,1,3,4,0,1
18,1,0,1,1,1,1,0,0,0,4,3,2,1,1,4,0,0
17,3,2,2,0,0,1,0,1,0,4,4,4,1,2,5,10,0
15,4,4,2,0,0,1,1,1,0,4,3,3,1,1,5,0,0
18,2,3,1,0,0,1,0,1,1,5,2,3,1,2,4,0,1
18,2,2,2,3,0,1,0,1,0,3,3,3,5,5,4,9,0
18,3,3,2,0,0,0,0,1,1,4,1,3,1,2,1,1,1
17,2,2,2,0,0,0,1,1,1,4,4,2,5,5,4,0,0
17,4,4,2,0,0,1,0,1,1,5,3,5,4,5,3,15,0
15,1,1,1,0,0,1,0,0,1,5,2,1,1,3,4,0,1
15,2,2,1,0,0,0,0,0,0,4,3,3,1,2,4,1,0
16,4,2,2,0,0,0,1,1,0,4,5,1,1,3,5,0,0
16,4,4,1,0,0,0,1,1,0,3,5,5,2,5,4,8,0
15,3,4,1,0,1,0,0,1,0,5,5,5,3,2,5,2,0
16,4,3,2,0,0,1,1,1,0,5,4,3,1,2,1,2,1
18,3,3,2,0,0,1,0,1,1,4,3,2,1,3,3,6,1
18,4,4,2,0,0,1,0,1,0,4,4,4,3,3,5,0,1
15,1,1,2,0,0,1,1,1,0,4,3,2,2,3,4,2,1
18,4,4,2,0,0,1,1,1,0,5,4,3,1,1,2,0,0
18,1,1,2,0,1,0,0,0,0,2,3,5,1,4,3,8,1
16,4,4,1,0,0,1,0,1,0,4,4,4,1,2,2,6,1
15,2,1,2,0,1,1,0,1,0,4,4,2,3,3,2,0,1
15,4,4,2,0,0,1,1,1,0,4,3,1,1,1,5,2,0
17,3,4,3,0,0,1,1,1,0,4,3,4,2,5,5,2,1
15,3,3,1,0,0,1,0,1,0,5,4,4,2,3,5,4,1
16,4,1,2,0,0,1,1,1,0,1,2,4,2,2,1,8,1
